,matches_played,wins,win_percentage
Rising Pune Supergiant,16,10,62.5
Gujarat Titans,45,28,62.22222222222222
Chennai Super Kings,238,138,57.98319327731093
Mumbai Indians,261,144,55.172413793103445
Lucknow Super Giants,44,24,54.54545454545454
Delhi Capitals,91,48,52.74725274725275
Kolkata Knight Riders,251,131,52.191235059760956
Rajasthan Royals,221,112,50.678733031674206
Sunrisers Hyderabad,182,88,48.35164835164835
Royal Challengers Bangalore,240,116,48.333333333333336
Royal Challengers Bengaluru,15,7,46.666666666666664
Kings XI Punjab,190,88,46.31578947368421
Gujarat Lions,30,13,43.333333333333336
Kochi Tuskers Kerala,14,6,42.857142857142854
Punjab Kings,56,24,42.857142857142854
Delhi Daredevils,161,67,41.61490683229814
Deccan Chargers,75,29,38.666666666666664
Rising Pune Supergiants,14,5,35.714285714285715
Pune Warriors,46,12,26.08695652173913
